enrollment_id,roll_no,course_code,semester,enrollment_date,status,assignment,quiz,mid,project,final,total,grade
E0001,BSAI-23-001,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0002,BSAI-23-001,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0003,BSAI-23-001,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0004,BSAI-23-001,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0005,BSAI-23-001,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0006,BSAI-23-002,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0007,BSAI-23-002,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0008,BSAI-23-002,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0009,BSAI-23-002,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0010,BSAI-23-003,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0011,BSAI-23-003,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0012,BSAI-23-003,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0013,BSAI-23-003,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0014,BSAI-23-004,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0015,BSAI-23-004,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0016,BSAI-23-004,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0017,BSAI-23-004,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0018,BSAI-23-004,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0019,BSAI-23-005,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0020,BSAI-23-005,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0021,BSAI-23-005,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0022,BSAI-23-005,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0023,BSAI-23-006,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0024,BSAI-23-006,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0025,BSAI-23-006,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0026,BSAI-23-006,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0027,BSAI-23-006,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0028,BSAI-23-007,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0029,BSAI-23-007,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0030,BSAI-23-007,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0031,BSAI-23-007,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0032,BSAI-23-008,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0033,BSAI-23-008,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0034,BSAI-23-008,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0035,BSAI-23-008,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0036,BSAI-23-009,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0037,BSAI-23-009,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0038,BSAI-23-009,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0039,BSAI-23-009,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0040,BSAI-23-010,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0041,BSAI-23-010,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0042,BSAI-23-010,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0043,BSAI-23-010,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0044,BSAI-23-011,CS101,2,15-01-2024,dropped,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0045,BSAI-23-011,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0046,BSAI-23-011,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0047,BSAI-23-011,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0048,BSAI-23-012,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0049,BSAI-23-012,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0050,BSAI-23-012,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0051,BSAI-23-012,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0052,BSAI-23-012,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0053,BSAI-23-013,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0054,BSAI-23-013,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0055,BSAI-23-013,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0056,BSAI-23-013,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0057,BSAI-23-014,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0058,BSAI-23-014,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0059,BSAI-23-014,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0060,BSAI-23-014,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0061,BSAI-23-014,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0062,BSAI-23-015,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0063,BSAI-23-015,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0064,BSAI-23-015,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0065,BSAI-23-015,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0066,BSAI-23-016,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0067,BSAI-23-016,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0068,BSAI-23-016,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0069,BSAI-23-016,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0070,BSAI-23-017,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0071,BSAI-23-017,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0072,BSAI-23-017,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0073,BSAI-23-017,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0074,BSAI-23-018,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0075,BSAI-23-018,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0076,BSAI-23-018,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0077,BSAI-23-018,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0078,BSAI-23-020,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0079,BSAI-23-020,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0080,BSAI-23-020,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0081,BSAI-23-020,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0082,BSAI-23-021,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0083,BSAI-23-021,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0084,BSAI-23-021,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0085,BSAI-23-021,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0086,BSAI-23-022,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0087,BSAI-23-022,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0088,BSAI-23-022,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0089,BSAI-23-022,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0090,BSAI-23-022,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0091,BSAI-23-023,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0092,BSAI-23-023,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0093,BSAI-23-023,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0094,BSAI-23-023,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0095,BSAI-23-024,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0096,BSAI-23-024,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0097,BSAI-23-024,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0098,BSAI-23-024,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0099,BSAI-23-024,CS121,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0100,BSAI-23-025,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0101,BSAI-23-025,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0102,BSAI-23-025,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0103,BSAI-23-025,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0104,BSAI-23-026,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0105,BSAI-23-026,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0106,BSAI-23-026,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0107,BSAI-23-026,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0108,BSAI-23-027,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0109,BSAI-23-027,CS111,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0110,BSAI-23-027,HU101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0111,BSAI-23-027,IS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
E0112,BSAI-23-028,CS101,2,15-01-2024,active,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,N/A
